Tip,Author,Last Sent,Category
Type data() to see a list of all available data sets http://bit.ly/n5mCJZ #rstats,Joseph Rickert,2014-07-16T00:00:00Z,NA
Google's style guide for R programmers: http://bit.ly/unTY2g #rstats,David Smith,2014-07-25T00:00:00Z,deprecated
"For complex optimization problems (e.g. mixed-integer programming), try the lpSolveAPI package: http://bit.ly/1ooNuHx #rstats",David Smith,2014-07-29T00:00:00Z,NA
Use the recode() function in the car package to recode variables. http://bit.ly/1o0jrAW #rstats,Joseph Rickert,2014-07-30T00:00:00Z,NA
A useful tutorial on producing simple R graphs from Frank McCown http://bit.ly/1m6gijt #rstats,Joseph Rickert,2014-08-05T00:00:00Z,NA
R for programmers coming from other languages http://bit.ly/1sasTa9 and  http://bit.ly/rkawJQ #rstats,John D Cook,2014-08-08T00:00:00Z,NA
Two packages for wavelets: wavelets http://bit.ly/V8UQDc and wavethresh http://bit.ly/1oxAt9V #rstats,Joseph Rickert,2014-08-13T00:00:00Z,NA
"Scroll down to ""Finance"" at http://bit.ly/1pRonMU to see the RMetrics (www.rmetrics.org) suite of packages for computational finance #rstats",Joseph Rickert,2014-08-18T00:00:00Z,NA
Look at rggobi http://bit.ly/1phZU44 and brand new ggvis http://ggvis.rstudio.com/ for interactive graphics #rstats,Joseph Rickert,2014-08-19T00:00:00Z,NA
Video introduction to object-oriented programming in R with S3 classes (by @mensurationist): http://bit.ly/N8U0vZ #rstats,David Smith,2014-08-22T00:00:00Z,NA
Use read.csv.sql() from the sqldf package http://bit.ly/1npWhte to read a file into R filtering it with SQL statements. #rstats,Joseph Rickert,2014-08-26T00:00:00Z,NA
Use the compactPDF function to make PDF files smaller: http://ow.ly/5Wjq2 #rstats,David Smith,2014-08-29T00:00:00Z,NA
#rstats To get the list of recommended packages for R version 3.0.3: http://cran.r-project.org/src/contrib/3.0.3/Recommended/,Joseph Rickert,2014-09-03T00:00:00Z,deprecated
Use sqldf to select rows from a data frame using SQL syntax: http://bit.ly/oSevHz #rstats,David Smith,2014-09-04T00:00:00Z,NA
The xmlToDataFrame function can extract data from structured XML documents http://bit.ly/oFfHWu #rstats,David Smith,2014-09-05T00:00:00Z,NA
A compact ggplot2 tutorial: http://bit.ly/1BgCeS4 #rstats,Joseph Rickert,2014-09-09T00:00:00Z,NA
Use formals(foo) to get the formal arguments of a function http://bit.ly/1rHzfie #rstats,Joseph Rickert,2014-09-10T00:00:00Z,NA
"Use the subset() function to select rows and columns from a data frame, based on the data it contains: http://bit.ly/qPEhsk #rstats",David Smith,2014-09-11T00:00:00Z,NA
"ifelse(b,u,v) where b is a boolean expression, is a vectorized if-then-else construct: http://bit.ly/t0Bi1Y #rstats",Joseph Rickert,2014-09-12T00:00:00Z,NA
