status_id,created_at,text,favorite_count,retweet_count,score
1065651119349792769,2018-11-22T17:00:00Z,"Thanks to the R Core Group, for volunteering their time and expertise to create, improve and support R https://t.co/mwKR3pncrd #rstats",92,16,124
1065288732738113536,2018-11-21T17:00:00Z,"Use checkpoint(""2018-11-21"") to make the current project always use today's package versions from now on https://t.co/70XwjnPuAm #rstats",61,14,89
1064926346973917184,2018-11-20T17:00:01Z,"Download the source tarball for a specific version of a CRAN package by appending 
 &amp;package=&lt;name&gt;&amp;version=&lt;version_no&gt;
to the CRAN mirror URL. Example: https://t.co/ySrUMUpwZE #rstats",15,5,25
1064563958693093376,2018-11-19T17:00:01Z,"par(mfrow=c(2,2)); plot(lm(y~x)) will produce 4 nice plots of the regression residuals https://t.co/yT3Yibjuvv #rstats
par(mfrow=c(2,2)); plot(lm(y~x)) will produce 4 nice plots of the regression residuals https://t.co/yT3Yibjuvv #rstats",44,21,86
1063540965250482176,2018-11-16T21:15:00Z,"Some #rstats Linear Algebra: For a matrix M, Null(M) {MASS package} finds a matrix giving a basis for the left null space https://t.co/EJ3uWs3jvW",15,4,23
1063084213983801344,2018-11-15T15:00:02Z,"You can use the %&lt;&gt;% operator (in the magrittr package) to update an object with a pipe. 
  a %&lt;&gt;% f %&gt;% g 
is the same as 
  a &lt;- a %&gt;% f %&gt;% g
https://t.co/flxJjXU7RA #rstats",135,31,197
1062752020296228864,2018-11-14T17:00:01Z,How to run RStudio on Azure Databricks https://t.co/3VyMgFfb81 #rstats,19,0,19
1062389629528137728,2018-11-13T17:00:00Z,"Chromebook Data Science, a free course on Data Science with R from the Johns Hopkins Data Science lab #rstats https://t.co/hoa06QsnJU",58,18,94
1062027242862194689,2018-11-12T17:00:00Z,Use the || and &amp;&amp; operators when working with scalar booleans; use | and &amp; when working with vectors https://t.co/RgnvmV1SRR #rstats,44,14,72
1060940082515865600,2018-11-09T17:00:01Z,Tutorial: Analysis of Variance (ANOVA) for comparing the means https://t.co/zAsvbzBKZc #rstats,66,22,110
1060577697061990400,2018-11-08T17:00:02Z,Want to fit a generalized additive model to a large data set? Try the bam() function in the mgcv package https://t.co/vRT9V2vmby #rstats,38,8,54
1060215306281410560,2018-11-07T17:00:01Z,How to connect to Azure Databricks from R https://t.co/H5sLTDyNyl #rstats,13,5,23
1059852914745921537,2018-11-06T17:00:00Z,"The fs package provides a unified, consistent, and cross-platform set of function for interacting with files and directories in R: https://t.co/A3BnxR6PcH #rstats",62,16,94
1059490527186436098,2018-11-05T17:00:00Z,"Info on getting data from databases, spreadsheets, binary files and APIs into #rstats, from the official R data import/export manual: https://t.co/4JTw63NUPm",50,19,88
1058388262371262466,2018-11-02T16:00:00Z,"nchar(string) finds the length of a string, whereas length(string) finds the length of the vector containing the string(s) https://t.co/yejvDrk4D9 #rstats",34,9,52
1058025880579010562,2018-11-01T16:00:01Z,"Use is.atomic(v) NOT is.vector(v) to test if vector. Try:
 v=9; attr(v,""A"") = ""attr"" 
See Wickham, Advanced R https://t.co/V7a2xNRU4f #rstats",26,6,38
1057663492189229060,2018-10-31T16:00:01Z,How to schedule R jobs as batch tasks with Microsoft ML Server https://t.co/RdbLpYbA7o #rstats,14,6,26
1057301100229988352,2018-10-30T16:00:00Z,"Get docker containers with specific versions of R, RStudio, tidyverse and more from the rocker project https://t.co/wFYondcKj3 #rstats",27,5,37
1056938717485637632,2018-10-29T16:00:01Z,rm(list=ls()) will remove almost everything from your working environment. Be careful! Be sure! https://t.co/z2iRBfRHHM #rstats,49,16,81
